source_id,source_type,source_date,source_tablet,source_title,source_filename,source_archive_filename,source_archive_path,target_id,target_type,target_date,target_tablet,target_title,target_filename,target_archive_filename,target_archive_path,target_path,status
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0010,meditation,2026-02-27,I,02-27 Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour,02-27 Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour.md,02-27 Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour.md,,Personal Space/memo/PLAUD Meditations/Feb/02-27 Personal Meditation_ Spiritual Preparation Through Sleeplessness and Surrendering Self in the Midnight Hour.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0013,meditation,2026-03-01,I,"03-01 Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace","03-01 Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace.md","03-01 Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace.md",,"Personal Space/memo/PLAUD Meditations/March/03-01 Meditation_ God_s Relentless Pursuit — Jonah, Meekness, the Living Temple, and Sovereign Grace.md",ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0005,meditation,2026-02-25,I,"02-25 Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence","02-25 Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence.md","02-25 Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence.md",,"Personal Space/memo/PLAUD Meditations/Feb/02-25 Personal Meditation_ Divine Sovereignty, Grace, and the Mystery of Providence.md",ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0006,meditation,2026-02-26,I,02-26 Personal Meditation_ Divine Discipline and Severe Mercy in Church Community,02-26 Personal Meditation_ Divine Discipline and Severe Mercy in Church Community.md,02-26 Personal Meditation_ Divine Discipline and Severe Mercy in Church Community.md,,Personal Space/memo/PLAUD Meditations/Feb/02-26 Personal Meditation_ Divine Discipline and Severe Mercy in Church Community.md,ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,MED-0021,meditation,2026-03-06,I,"03-06 Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship","03-06 Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship-Summary.md","03-06 Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship-Summary.md",,"Personal Space/memo/PLAUD Meditations/March/03-06 Personal Meditation_ The Sacred Threshold - Daily Bread, Divine Anointing, and Watchful Intercession in Radical Discipleship-Summary.md",ok
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,EXT-MASTER-INDEX,external,,,PLAUD Meditations · Master Index,PLAUD Meditations · Master Index.md,PLAUD Meditations · Master Index.md,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Master Index.md,external
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,EXT-TIMELINE,external,,,Timeline of Six Spines,PLAUD Meditations · Timeline of Six Spines.html,PLAUD Meditations · Timeline of Six Spines.html,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Timeline of Six Spines.html,external
TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,EXT-TRACKER-XLSX,external,,,PLAUD Meditations · Tracker XLSX,PLAUD Meditations · Tracker.xlsx,PLAUD Meditations · Tracker.xlsx,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Tracker.xlsx,external
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Personal Space/memo/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-III,stone_tablet,,III,Stone Tablet III · The Starling Convergence,Stone Tablet III -- The Starling Convergence -- Complete.md,Stone Tablet III -- The Starling Convergence -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet III -- The Starling Convergence -- Complete.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-IV,stone_tablet,,IV,Stone Tablet IV · Volume I Witness Companion,Stone Tablet IV -- Volume I Witness Companion -- Complete.md,Stone Tablet IV -- Volume I Witness Companion -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet IV -- Volume I Witness Companion -- Complete.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-V,stone_tablet,,V,"Stone Tablet V · Come Out of Her, My Children","Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md","Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md",,"Personal Space/memo/Stone Tablets/Stone Tablet V -- Come Out of Her, My Children -- A Watchman's Testimony from the Sleeping Bride's Hour.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-VI,stone_tablet,,VI,Stone Tablet VI · The Night the Silence Should Have Come Sooner,Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,,Personal Space/memo/Stone Tablets/Stone Tablet VI - The Night the Silence Should Have Come Sooner.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-VII,stone_tablet,,VII,Stone Tablet VII · Koinonia Takes Precedence · Volume IV,Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,,Personal Space/memo/Stone Tablets/Stone Tablet VII -- A Living Topology of Transformation -- Volume IV -- Complete.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,TAB-VIII,stone_tablet,,VIII,Stone Tablet VIII · Seed Register,Stone Tablet VIII -- Seed Register.md,Stone Tablet VIII -- Seed Register.md,,Personal Space/memo/Stone Tablets/Stone Tablet VIII -- Seed Register.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0127,meditation,2026-05-01,II,05-01 Call Reflection_ Divine Encounter — Samuel's Breaking Point and Spiritual Transformation,05-01 Call Reflection_ Divine Encounter — Samuel's Breaking Point and Spiritual Transformation-Public Spoken Word — PLAUD Note Prompt.md,05-01 Call Reflection_ Divine Encounter — Samuel's Breaking Point and Spiritual Transformation.md,,Personal Space/memo/PLAUD Meditations/May/05-01 Call Reflection_ Divine Encounter — Samuel's Breaking Point and Spiritual Transformation-Public Spoken Word — PLAUD Note Prompt.md,ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0109,meditation,2026-04-20,II,"04-20 at 10_34 Call Reflection_ Holy Spirit Compulsion, Brotherhood, and Covenant Prayer","04-20 at 10_34 Call Reflection_ Holy Spirit Compulsion, Brotherhood, and Covenant Prayer-Public Spoken Word — PLAUD Note Prompt.md","04-20 at 10_34 Call Reflection_ Holy Spirit Compulsion, Brotherhood, and Covenant Prayer.md",,"Personal Space/memo/PLAUD Meditations/April/04-20 at 10_34 Call Reflection_ Holy Spirit Compulsion, Brotherhood, and Covenant Prayer-Public Spoken Word — PLAUD Note Prompt.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,,unknown,,,"05-24 at 17_ 05 — Saved, Loaves, and the Gilgal Stone_ What the Spirit Builds in t…","05-24 at 17_05 — Saved, Loaves, and the Gilgal Stone_ What the Spirit Builds in the Hidden Place-Public Spoken Word — PLAUD Note Prompt (1.md","05-24 at 17_05 — Saved, Loaves, and the Gilgal Stone_ What the Spirit Builds in the Hidden Place-Public Spoken Word — PLAUD Note Prompt (1.md",,"Personal Space/memo/PLAUD Meditations/May/05-24 at 17_05 — Saved, Loaves, and the Gilgal Stone_ What the Spirit Builds in the Hidden Place-Public Spoken Word — PLAUD Note Prompt (1.md",unresolved
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0112,meditation,2026-04-22,II,"04-22 at 06_29 Call Reflection_ Samuel's Grief, Sobriety Decision, and Spiritual Warfare","04-22 at 06_29 Call Reflection_ Samuel's Grief, Sobriety Decision, and Spiritual Warfare-Public Spoken Word — PLAUD Note Prompt.md","04-22 at 06_29 Call Reflection_ Samuel's Grief, Sobriety Decision, and Spiritual Warfare.md",,"Personal Space/memo/PLAUD Meditations/April/04-22 at 06_29 Call Reflection_ Samuel's Grief, Sobriety Decision, and Spiritual Warfare-Public Spoken Word — PLAUD Note Prompt.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0132,meditation,2026-05-06,II,"05-06 Call Reflection_ The Cross, Identity in Christ, and Samuel's Vocational Discernment","05-06 Call Reflection_ The Cross, Identity in Christ, and Samuel's Vocational Discernment-Public Spoken Word — PLAUD Note Prompt.md","05-06 Call Reflection_ The Cross, Identity in Christ, and Samuel's Vocational Discernment.md",,"Personal Space/memo/PLAUD Meditations/May/05-06 Call Reflection_ The Cross, Identity in Christ, and Samuel's Vocational Discernment-Public Spoken Word — PLAUD Note Prompt.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0135,meditation,2026-05-08,II,"05-08 Call Reflection_ Spiritual Warfare, Covenant Friendship, and a Brother's Darkest Night","05-08 Call Reflection_ Spiritual Warfare, Covenant Friendship, and a Brother's Darkest Night-Public Spoken Word — PLAUD Note Prompt.md","05-08 Call Reflection_ Spiritual Warfare, Covenant Friendship, and a Brother's Darkest Night.md",,"Personal Space/memo/PLAUD Meditations/May/05-08 Call Reflection_ Spiritual Warfare, Covenant Friendship, and a Brother's Darkest Night-Public Spoken Word — PLAUD Note Prompt.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0138,meditation,2026-05-10,II,"05-10 at 14_28 — Brotherhood, the Round Table, the God Who Sees, and the Plow ","05-10 at 14_28 — Brotherhood, the Round Table, the God Who Sees, and the Plow .md","05-10 at 14_28 — Brotherhood, the Round Table, the God Who Sees, and the Plow .md",,"Personal Space/memo/PLAUD Meditations/May/05-10 at 14_28 — Brotherhood, the Round Table, the God Who Sees, and the Plow .md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,MED-0141,meditation,2026-05-12,II,"05-12 Personal Reflection_ Resurrection, Severe Mercy, and Divine Discipline","05-12 Personal Reflection_ Resurrection, Severe Mercy, and Divine Discipline-Public Spoken Word — PLAUD Note Prompt.md","05-12 Personal Reflection_ Resurrection, Severe Mercy, and Divine Discipline.md",,"Personal Space/memo/PLAUD Meditations/May/05-12 Personal Reflection_ Resurrection, Severe Mercy, and Divine Discipline-Public Spoken Word — PLAUD Note Prompt.md",ok
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,EXT-MASTER-INDEX,external,,,PLAUD Meditations · Master Index,PLAUD Meditations · Master Index.md,PLAUD Meditations · Master Index.md,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Master Index.md,external
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,EXT-TIMELINE,external,,,Timeline of Six Spines,PLAUD Meditations · Timeline of Six Spines.html,PLAUD Meditations · Timeline of Six Spines.html,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Timeline of Six Spines.html,external
TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,EXT-TRACKER-XLSX,external,,,PLAUD Meditations · Tracker XLSX,PLAUD Meditations · Tracker.xlsx,PLAUD Meditations · Tracker.xlsx,,Personal Space/memo/PLAUD Meditations/PLAUD Meditations · Tracker.xlsx,external
TAB-III,stone_tablet,,III,Stone Tablet III · The Starling Convergence,Stone Tablet III -- The Starling Convergence -- Complete.md,Stone Tablet III -- The Starling Convergence -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet III -- The Starling Convergence -- Complete.md,TAB-I,stone_tablet,,I,Stone Tablet I · Volume I · The Architecture of Formation,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,Personal Space/memo/Stone Tablets/Stone Tablet I -- A Living Topology of Transformation -- Volume I -- Complete.md,ok
TAB-III,stone_tablet,,III,Stone Tablet III · The Starling Convergence,Stone Tablet III -- The Starling Convergence -- Complete.md,Stone Tablet III -- The Starling Convergence -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet III -- The Starling Convergence -- Complete.md,TAB-II,stone_tablet,,II,Stone Tablet II · Volume II · The Testimony of a Witness,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,PLAUD-Meditations-Corpus/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,Personal Space/memo/Stone Tablets/Stone Tablet II -- A Living Topology of Transformation -- Volume II -- Complete.md,ok
